City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Rudbar,AF,30.15,62.6,80.64,28,0,7.52,clear sky
79,Mandalgovi,MN,45.7625,106.2708,51.91,57,61,0.36,broken clouds
80,Borisoglebsk,RU,51.3671,42.0849,59.67,75,66,4.41,broken clouds
81,Meulaboh,ID,4.1363,96.1285,76.37,89,100,7.25,moderate rain
82,Teguldet,RU,57.3064,88.1667,37.44,60,71,7.99,broken clouds
83,Alta Floresta,BR,-9.8756,-56.0861,71.6,100,0,2.44,clear sky
84,Altamira,BR,-3.2033,-52.2064,73.69,93,99,2.98,overcast clouds
85,Bocas Del Toro,PA,9.3333,-82.25,82.08,79,92,6.58,overcast clouds
86,Panjab,AF,34.388,67.0233,48.04,65,43,3.91,scattered clouds
87,Leningradskiy,RU,69.3833,178.4167,32.74,88,24,13.42,few clouds
88,Thompson,CA,55.7435,-97.8558,59.16,31,75,14.97,broken clouds
89,Port Macquarie,AU,-31.4333,152.9167,62.01,55,40,14.97,scattered clouds
90,Kaitangata,NZ,-46.2817,169.8464,53.92,80,100,10.87,overcast clouds
91,Puerto Ayora,EC,-0.7393,-90.3518,74.55,93,78,8.01,broken clouds
92,New Norfolk,AU,-42.7826,147.0587,47.91,74,30,1.01,scattered clouds
93,Galesong,ID,-5.3166,119.3661,80.62,71,6,4.41,clear sky
94,Lavrentiya,RU,65.5833,-171.0,33.82,83,8,10.76,clear sky
95,Baykit,RU,61.67,96.37,35.69,95,100,6.6,light rain
96,Butaritari,KI,3.0707,172.7902,82.72,78,75,14.25,light rain
97,East London,ZA,-33.0153,27.9116,62.82,64,2,13.04,clear sky
98,Richards Bay,ZA,-28.783,32.0377,67.17,80,43,7.63,scattered clouds
99,Krasnoborsk,RU,61.5598,45.934,46.94,92,28,6.91,scattered clouds
100,Pacific Grove,US,36.6177,-121.9166,79.07,78,75,4.0,broken clouds
101,Santa Cruz,BO,-17.8,-63.1667,76.46,78,99,17.54,overcast clouds
102,Roma,US,43.2128,-75.4557,46.4,81,90,5.75,moderate rain
103,Castro,BR,-24.7911,-50.0119,69.73,60,71,14.07,broken clouds
104,Casablanca,MA,33.5928,-7.6192,69.01,88,0,2.3,clear sky
105,Machico,PT,32.7,-16.7667,68.0,81,20,5.75,few clouds
106,Saquarema,BR,-22.92,-42.5103,80.62,88,40,11.77,scattered clouds
107,Manamadurai,IN,9.7,78.4833,83.1,61,73,5.84,broken clouds
108,Prado,BR,-17.3411,-39.2208,75.87,81,33,8.48,scattered clouds
109,Port Alfred,ZA,-33.5906,26.891,63.12,68,1,23.8,clear sky
110,Vao,NC,-22.6667,167.4833,71.35,69,10,20.94,clear sky
111,Hamilton,US,39.1834,-84.5333,53.01,92,99,5.99,overcast clouds
112,Saint George,US,37.1041,-113.5841,96.01,7,1,11.5,clear sky
113,Black River,JM,18.0264,-77.8487,82.4,78,29,1.16,scattered clouds
114,Duku,NG,11.2361,4.9073,85.84,36,68,2.15,broken clouds
115,Rurrenabaque,BO,-14.4413,-67.5278,78.8,94,20,1.1,few clouds
116,Bulgan,MN,48.8125,103.5347,49.19,65,71,9.64,broken clouds
117,Pirai Do Sul,BR,-24.5261,-49.9486,69.76,61,45,10.11,scattered clouds
118,Luderitz,NA,-26.6481,15.1594,62.04,54,85,11.27,overcast clouds
119,Hami,CN,42.8,93.45,78.01,25,7,15.57,clear sky
120,Borogontsy,RU,62.6683,131.1683,66.42,35,24,6.96,few clouds
121,Trinidad,BO,-14.8333,-64.9,76.46,69,59,3.62,broken clouds
122,Saint-Pierre,RE,-21.3393,55.4781,67.68,68,0,9.22,clear sky
123,Bluff,NZ,-46.6,168.3333,50.0,79,99,5.01,overcast clouds
124,Flinders,AU,-34.5833,150.8552,55.99,56,75,11.01,broken clouds
125,Cabo San Lucas,MX,22.8909,-109.9124,99.52,25,20,3.44,few clouds
126,Peniche,PT,39.3558,-9.3811,60.73,85,7,18.77,clear sky
127,Victoria,HK,22.2855,114.1577,90.0,77,98,1.01,overcast clouds
128,Boromlya,UA,50.6184,34.9704,57.78,93,88,3.6,overcast clouds
129,Moree,AU,-29.4667,149.85,57.22,38,62,6.91,broken clouds
130,Peruibe,BR,-24.32,-46.9983,72.32,75,85,4.97,overcast clouds
131,Mayumba,GA,-3.432,10.6554,76.21,92,94,4.85,overcast clouds
132,Carnarvon,AU,-24.8667,113.6333,69.87,100,90,4.61,light rain
133,Domoni,KM,-12.2569,44.5319,74.73,82,11,5.48,few clouds
134,Kaeo,NZ,-35.1,173.7833,55.33,95,80,14.74,broken clouds
135,Bitung,ID,1.4451,125.1824,85.05,78,9,10.98,clear sky
136,Manbij,SY,36.5281,37.9549,63.37,78,1,14.61,clear sky
137,Beringovskiy,RU,63.05,179.3167,33.01,87,21,13.65,few clouds
138,Pisco,PE,-13.7,-76.2167,66.25,82,90,14.97,overcast clouds
139,Kapaa,US,22.0752,-159.319,82.72,69,20,3.0,few clouds
140,Saint Anthony,US,45.0205,-93.218,61.99,38,1,1.99,clear sky
141,Cochrane,CA,51.1834,-114.4687,59.65,57,94,14.45,overcast clouds
142,Lida,BY,53.8833,25.2997,45.59,93,73,4.25,broken clouds
143,Heiligenhafen,DE,54.3667,10.9833,51.82,94,18,12.82,few clouds
144,New Richmond,US,45.123,-92.5366,61.23,31,1,0.0,clear sky
145,Georgetown,MY,5.4112,100.3354,80.89,87,20,2.3,few clouds
146,Saint-Augustin,CA,51.226,-58.6502,44.49,45,84,13.29,broken clouds
147,Labuhan,ID,-6.8844,112.2051,79.65,85,96,6.13,overcast clouds
148,Iskandar,UZ,41.5539,69.7008,74.25,40,1,8.66,clear sky
149,Samarai,PG,-10.6167,150.6667,78.3,74,82,15.26,broken clouds
150,Mathathane,BW,-22.2687,28.7495,59.99,28,0,7.43,clear sky
151,Airai,TL,-8.9266,125.4092,62.96,80,89,3.98,overcast clouds
152,Mount Darwin,ZW,-16.7725,31.5838,50.92,58,0,3.27,clear sky
153,Te Anau,NZ,-45.4167,167.7167,41.5,98,100,6.06,overcast clouds
154,Hithadhoo,MV,-0.6,73.0833,81.88,77,80,14.65,broken clouds
155,Mooresville,US,35.5849,-80.8101,78.01,81,75,1.01,broken clouds
156,Isabela,PH,6.7085,121.9711,84.25,67,87,1.14,overcast clouds
157,Port Blair,IN,11.6667,92.75,78.84,89,75,3.44,broken clouds
158,Hilo,US,19.7297,-155.09,82.13,65,75,9.22,broken clouds
159,Funadhoo,MV,6.15,73.2667,83.88,69,26,21.65,scattered clouds
160,Bilma,NE,18.6853,12.9164,86.45,9,53,5.53,broken clouds
