City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Camden,US,2021-05-26 01:46:41,39.7835,-74.9663,71.55,79,73,1.01
68,Makakilo City,US,2021-05-26 01:46:42,21.3469,-158.0858,81.68,65,75,10.36
69,San Cristobal,VE,2021-05-26 01:46:42,7.7669,-72.225,75.38,97,92,4.25
70,New Norfolk,AU,2021-05-26 01:46:43,-42.7826,147.0587,56.7,54,100,5.99
71,Xalpatlahuac,MX,2021-05-26 01:46:43,17.4667,-98.6167,67.41,78,100,4.41
72,Kuruman,ZA,2021-05-26 01:46:43,-27.4524,23.4325,48.81,59,0,3.87
73,Sola,VU,2021-05-26 01:46:44,-13.8833,167.55,77.59,59,88,15.57
74,Hofn,IS,2021-05-26 01:46:44,64.2539,-15.2082,44.11,84,99,10.31
75,Damghan,IR,2021-05-26 01:46:44,36.1683,54.348,72.79,37,77,5.3
76,Ballina,AU,2021-05-26 01:46:45,-28.8667,153.5667,72.79,65,1,4.61
77,La Ronge,CA,2021-05-26 01:46:45,55.1001,-105.2842,44.85,33,20,12.66
78,Tasiilaq,GL,2021-05-26 01:46:45,65.6145,-37.6368,35.76,90,100,41.11
79,Hobart,AU,2021-05-26 01:46:23,-42.8794,147.3294,57.06,61,40,1.99
80,Bharatpur,IN,2021-05-26 01:45:20,27.2167,77.4833,90.54,17,91,3.6
81,Boende,CD,2021-05-26 01:46:46,-0.2167,20.8667,74.93,74,73,1.21
82,Butaritari,KI,2021-05-26 01:46:46,3.0707,172.7902,82.2,78,100,19.17
83,Jamestown,US,2021-05-26 01:45:00,42.097,-79.2353,77.07,73,1,5.75
84,Tezu,IN,2021-05-26 01:46:47,27.9167,96.1667,85.8,62,94,1.7
85,Warwick,US,2021-05-26 01:46:47,41.7001,-71.4162,64.58,76,75,10.36
86,Isla Vista,US,2021-05-26 01:46:47,34.4133,-119.861,83.68,50,1,9.22
87,Tocopilla,CL,2021-05-26 01:46:47,-22.092,-70.1979,70.68,52,100,3.47
88,Ponta Do Sol,PT,2021-05-26 01:46:48,32.6667,-17.1,65.03,67,100,5.73
89,Simpang,ID,2021-05-26 01:46:48,-1.2667,104.0833,82.9,80,99,3.8
90,Bafq,IR,2021-05-26 01:46:48,31.6128,55.4107,81.81,20,2,7.14
91,Talnakh,RU,2021-05-26 01:46:49,69.4865,88.3972,25.39,91,45,13.27
92,Laguna,US,2021-05-26 01:46:49,38.421,-121.4238,84.9,37,1,7.0
93,Leningradskiy,RU,2021-05-26 01:46:49,69.3833,178.4167,36.81,83,32,8.88
94,Harlingen,US,2021-05-26 01:46:49,26.1906,-97.6961,83.34,76,40,17.27
95,Mahebourg,MU,2021-05-26 01:45:26,-20.4081,57.7,70.25,94,40,3.44
96,Aktash,RU,2021-05-26 01:46:50,50.3,87.7333,54.41,51,74,6.82
97,Balclutha,NZ,2021-05-26 01:46:50,-46.2339,169.75,46.6,63,99,2.06
98,Coihaique,CL,2021-05-26 01:46:50,-45.5752,-72.0662,33.75,93,90,4.61
99,Padang,ID,2021-05-26 01:46:51,-0.9492,100.3543,82.45,70,89,1.32
100,Emerald,AU,2021-05-26 01:46:51,-23.5333,148.1667,75.34,50,0,10.36
101,Bengkulu,ID,2021-05-26 01:42:24,-3.8004,102.2655,83.17,71,98,2.77
102,Husavik,IS,2021-05-26 01:46:51,66.0449,-17.3389,39.11,80,20,12.37
103,Luderitz,NA,2021-05-26 01:44:55,-26.6481,15.1594,61.5,68,0,7.38
104,Urzhum,RU,2021-05-26 01:46:52,57.1141,49.9996,50.07,83,4,6.62
105,Yurimaguas,PE,2021-05-26 01:46:52,-5.9,-76.0833,72.07,97,70,1.01
106,Paamiut,GL,2021-05-26 01:46:52,61.994,-49.6678,35.51,70,81,8.21
107,Pirapora,BR,2021-05-26 01:46:53,-17.345,-44.9419,74.89,66,51,1.3
108,Xinzhi,CN,2021-05-26 01:46:53,36.4989,111.7047,78.75,35,6,7.94
109,Klaksvik,FO,2021-05-26 01:46:53,62.2266,-6.589,47.32,89,72,17.67
110,Victoria,HK,2021-05-26 01:44:47,22.2855,114.1577,88.32,83,19,7.0
111,Sibu,MY,2021-05-26 01:46:54,2.3,111.8167,84.51,79,20,1.01
112,Sao Filipe,CV,2021-05-26 01:45:27,14.8961,-24.4956,73.58,75,0,10.16
113,Mayaky,UA,2021-05-26 01:46:54,47.4408,29.5599,53.02,81,2,6.46
114,Ugoofaaru,MV,2021-05-26 01:46:55,5.6667,73.0,83.1,75,100,25.23
115,Mitsamiouli,KM,2021-05-26 01:46:55,-11.3847,43.2844,77.81,70,9,9.33
116,Thinadhoo,MV,2021-05-26 01:46:55,0.5333,72.9333,84.16,65,100,21.61
117,Marawi,PH,2021-05-26 01:46:55,7.9986,124.2928,77.65,79,85,3.83
118,Henties Bay,NA,2021-05-26 01:46:56,-22.116,14.2845,62.96,81,0,6.96
119,Chokurdakh,RU,2021-05-26 01:46:56,70.6333,147.9167,39.02,79,99,8.1
120,Kodiak,US,2021-05-26 01:46:56,57.79,-152.4072,60.31,39,1,5.75
121,Broome,US,2021-05-26 01:46:57,42.2506,-75.833,71.38,81,100,5.01
122,Coihueco,CL,2021-05-26 01:46:57,-36.6167,-71.8333,53.62,100,86,3.22
123,Adrar,MR,2021-05-26 01:46:57,20.5022,-10.0711,84.49,18,100,14.12
124,Cidreira,BR,2021-05-26 01:46:58,-30.1811,-50.2056,55.51,73,0,10.65
125,East London,ZA,2021-05-26 01:46:58,-33.0153,27.9116,63.64,88,54,10.71
126,Port Alfred,ZA,2021-05-26 01:44:42,-33.5906,26.891,62.28,89,45,11.68
127,Arona,ES,2021-05-26 01:46:58,28.0996,-16.681,62.55,62,75,1.99
128,Kapaa,US,2021-05-26 01:45:02,22.0752,-159.319,84.18,68,75,1.01
129,Santa Rosa,PH,2021-05-26 01:46:59,14.3122,121.1114,92.08,66,41,3.2
130,Salo,IT,2021-05-26 01:46:59,45.6086,10.531,55.09,71,11,5.95
131,Chipinge,ZW,2021-05-26 01:47:00,-20.1883,32.6236,47.37,67,0,2.55
132,Berlevag,NO,2021-05-26 01:47:00,70.8578,29.0864,36.59,73,77,8.23
133,Codrington,AU,2021-05-26 01:47:00,-38.2667,141.9667,54.93,61,85,18.07
134,Kruisfontein,ZA,2021-05-26 01:45:09,-34.0033,24.7314,54.88,91,89,5.06
135,Gorontalo,ID,2021-05-26 01:47:01,0.5412,123.0595,86.58,65,63,4.56
136,Cariati,IT,2021-05-26 01:47:01,39.4922,16.9594,59.72,67,69,10.31
137,Nerekhta,RU,2021-05-26 01:47:01,57.4588,40.5747,44.49,89,100,5.44
138,Shetpe,KZ,2021-05-26 01:47:02,44.1667,52.1167,67.96,76,57,13.33
139,Pedernales,DO,2021-05-26 01:47:02,18.0384,-71.744,80.71,76,6,6.24
140,Pangnirtung,CA,2021-05-26 01:47:02,66.1451,-65.7125,18.07,94,97,5.53
141,Morant Bay,JM,2021-05-26 01:47:03,17.8815,-76.4093,83.82,87,18,10.56
142,Kupang,ID,2021-05-26 01:43:17,-10.1667,123.5833,84.78,70,40,16.11
143,Sitka,US,2021-05-26 01:47:03,57.0531,-135.33,49.89,76,90,10.36
144,Yonezawa,JP,2021-05-26 01:47:03,37.9167,140.1167,68.13,67,75,13.0
145,Grinnell,US,2021-05-26 01:47:04,41.743,-92.7224,73.81,82,40,1.99
146,Saint-Leu,RE,2021-05-26 01:47:04,-21.15,55.2833,72.43,74,3,1.95
147,Vostok,RU,2021-05-26 01:47:04,46.4856,135.8833,56.73,36,19,11.86
148,Arraial Do Cabo,BR,2021-05-26 01:47:05,-22.9661,-42.0278,68.74,62,59,4.97
149,Rio Grande,BR,2021-05-26 01:44:42,-32.035,-52.0986,54.7,81,0,9.73
150,Naze,JP,2021-05-26 01:47:05,28.3667,129.4833,65.32,67,100,4.85
151,Kavieng,PG,2021-05-26 01:45:30,-2.5744,150.7967,80.82,83,100,6.8
152,North Platte,US,2021-05-26 01:45:16,41.1239,-100.7654,73.29,46,1,5.75
153,Rundu,NA,2021-05-26 01:47:06,-17.9333,19.7667,50.49,60,0,5.75
154,Vila Velha,BR,2021-05-26 01:47:04,-20.3297,-40.2925,73.35,82,90,3.0
155,Conde,BR,2021-05-26 01:47:06,-7.2597,-34.9075,74.66,94,40,7.7
156,Mogilno,PL,2021-05-26 01:47:07,52.6581,17.9558,46.98,82,39,8.01
157,Barrow,US,2021-05-26 01:46:37,71.2906,-156.7887,28.42,74,90,8.05
158,Sorong,ID,2021-05-26 01:47:07,-0.8833,131.25,80.87,81,100,9.71
159,Fairbanks,US,2021-05-26 01:47:08,64.8378,-147.7164,69.76,27,1,8.05
160,Primorsk,UA,2021-05-26 01:47:08,46.7348,36.3443,59.58,75,14,3.89
161,Hilo,US,2021-05-26 01:43:24,19.7297,-155.09,84.27,78,90,13.8
162,Port Elizabeth,ZA,2021-05-26 01:43:15,-33.918,25.5701,59.29,88,0,8.05
163,Kaitangata,NZ,2021-05-26 01:45:25,-46.2817,169.8464,45.93,63,99,4.27
164,Beringovskiy,RU,2021-05-26 01:47:08,63.05,179.3167,32.54,98,100,6.4
165,Vershino-Darasunskiy,RU,2021-05-26 01:47:09,52.35,115.5167,48.4,58,58,2.95
166,Agadez,NE,2021-05-26 01:47:09,19.75,10.25,80.96,8,0,4.27
167,Starychi,UA,2021-05-26 01:47:09,49.98,23.5585,50.5,90,100,2.28
168,Margate,GB,2021-05-26 01:42:37,51.3813,1.3862,48.31,77,99,1.99
169,Bandarbeyla,SO,2021-05-26 01:47:10,9.4942,50.8122,79.77,72,100,19.15
170,Khatanga,RU,2021-05-26 01:47:10,71.9667,102.5,31.91,100,100,5.88
171,Narrabri,AU,2021-05-26 01:47:11,-30.3167,149.7833,72.52,49,75,18.41
172,Pisco,PE,2021-05-26 01:47:11,-13.7,-76.2167,65.01,94,90,3.44
173,Lebu,CL,2021-05-26 01:47:11,-37.6167,-73.65,53.65,90,100,4.92
